,JAHR,KT,Status,Inst,Adr,Ort,Typ,Notfalldienst,Infrastruktur1,Infrastruktur2,Infrastruktur3,Infrastruktur4,RWStatus,Akt,SL,WB,AnzStand,SA,RForm,LA,AmbKonsT,Ptage,PtageStatT,PtageStatMST,Aust,AustStatT,AustStatMST,Neug,NeugStatT,NeugStatMST,pAkutPT,Ops,Gebs,CMIb,CMIn,pAuPat,pPatWAU,pAkPat,pPatWAK,pZusVers,pPatLKP,pPatHOK,TeilsP,Leist,FMHKat,PersA,PersAWB,PersP,PersMT,PersS,PersT,StdBelA,StdBelP,PersAFall,PersPFall,PersMTFall,PersSFall,PersTFall,PersAFallMS,PersPFallMS,PersMTFallMS,PersTFallMS,AnzBelA,AnzBelP (nur ab KZP2010),pMRI_AMB,pMRI_STAT,pCT_AMB,pCT_STAT,pANGIO_AMB,pANGIO_STAT,pDIA_AMB,pDIA_STAT,AwBesold,AwInvest,AwSonst,AwT,EtMedL,EtSonst,EtSubv,EtDef,FiErg,EtAmb,AmbKonsA,PtageStatA,PtageStatMSA,AustStatA,AustStatMSA,Betten,BettenStatA,DAD,DADakut,DADStatA,DADStatMSA,DADlong,pBettenBel,pBettenBelStatA,KostAmbA,KostOKPAmbA,KostStatA,KostKVGStatA,AnlKVGStatA,KostZvOKPStatA,AnlZvOKPStatA,KostLangA,AuftragLFA,KostAWLFA,KostWBLFA,KostForLFA,ErlAmbStatLangA,ErlAmbA,ErlOKPAmbA,ErlStatA,ErlKVGStatA,ErlKVGStatVA,ErlZvOKPStatA,ErlZvOKPStatVA,ErlLangA,AmbKonsP,PtageStatP,PtageStatMSP,AustStatP,AustStatMSP,BettenStatP,DADStatP,DADStatMSP,pBettenBelStatP,KostAmbP,KostOKPAmbP,KostStatP,KostKVGStatP,AnlKVGStatP,KostZvOKPStatP,AnlZvOKPStatP,KostLangP,AuftragLFP,KostAWLFP,KostWBLFP,KostForLFP,ErlAmbStatLangP,ErlAmbP,ErlOKPAmbP,ErlStatP,ErlKVGStatP,ErlKVGStatVP,ErlZvOKPStatP,ErlZvOKPStatVP,ErlLangP,AmbKonsR,PtageStatR,PtageStatMSR,AustStatR,AustStatMSR,BettenStatR,DADStatR,DADStatMSR,pBettenBelStatR,KostAmbR,KostOKPAmbR,KostStatR,KostKVGStatR,AnlKVGStatR,KostZvOKPStatR,AnlZvOKPStatR,KostLangR,AuftragLFR,KostAWLFR,KostWBLFR,KostForLFR,ErlAmbStatLangR,ErlAmbR,ErlOKPAmbR,ErlStatR,ErlKVGStatR,ErlKVGStatVR,ErlZvOKPStatR,ErlZvOKPStatVR,ErlLangR,AmbKonsB,PtageStatB,PtageStatMSB,AustStatB,AustStatMSB,BettenStatB,DADStatB,DADStatMSB,pBettenBelStatB,KostAmbB,KostOKPAmbB,KostStatB,KostKVGStatB,AnlKVGStatB,KostZvOKPStatB,AnlZvOKPStatB,KostLangB,AuftragLFB,KostAWLFB,KostWBLFB,KostForLFB,ErlAmbStatLangB,ErlAmbB,ErlOKPAmbB,ErlStatB,ErlKVGStatB,ErlKVGStatVB,ErlZvOKPStatB,ErlZvOKPStatVB,ErlLangB,PTageLang,AustLang,KostLangT
0,2008,AG,öffentlich oder subventioniert,Kantonsspital Aarau AG,Tellstrasse,5001 Aarau,K112,Ja,CT,LITO,MRI,PET,,,,,,,,,,181282.0,,,23369.0,,,1193.0,,,100.0,14.0,,1.015,1.069,0.517779965,,10.45829946,,17.6216355,,,0.0,61.0,75.0,428.71,,1141.22,,794.82,2364.75,,,1.83452437,4.883478112,,3.401172493,10.11917498,,,,,2.0,,,,,,,,,,261464.0,19000.0,125731.0,406195.0,286648.0,16684.0,105223.0,,2360.0,115456.0,,,,,,542.0,,7.757370876,7.757370876,,,0.0,91.63524238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008,AG,öffentlich oder subventioniert,Kantonsspital Baden AG,Im Ergel,5404 Baden,K112,Ja,CT,LITO,MRI,,,,,,,,,,,119687.0,,,15305.0,,,1158.0,,,100.0,8.0,,0.867,0.934,0.457366874,,3.462920614,,20.91473375,,,0.0,56.0,66.0,207.0,,431.0,,566.28,1204.28,,,1.352499183,2.816073179,,3.699967331,7.868539693,,,,,49.0,,,,,,,,,,125736.0,9359.0,72067.0,207162.0,139454.0,8578.0,59444.0,,314.0,57384.0,,,,,,353.2164384,,7.820124142,7.820124142,,,0.0,92.83531383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,AG,privat,Hirslanden Klinik Aarau,Schänisweg 1,5001 Aarau,K122,Ja,CT,LITO,MRI,,,,,,,,,,,43971.0,,,8005.0,,,678.0,,,100.0,7.0,,0.931,0.948,0.974391006,,19.93753904,,63.94753279,,,5920.0,43.0,1.0,9.0,,150.04,,240.22,399.26,,,0.112429731,1.874328545,,3.000874453,4.98763273,,,,,120.0,,,,,,,,,,43327.0,24672.0,38371.0,106370.0,103620.0,6180.0,0.0,,3430.0,17314.0,,,,,,117.0,,5.492941911,5.492941911,,,0.0,102.9645241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2008,AG,öffentlich oder subventioniert,Gesundheitszentrum Fricktal,Riburgerstrasse 12,4310 Rheinfelden,K122,Ja,CT,,MRI,,,,,,,,,,,42320.0,,,6420.0,,,346.0,,,100.0,6.0,,0.801,0.812,2.69470405,,5.716510903,,21.77570093,,,0.0,25.0,4.0,55.6,,174.37,,216.17,446.14,,,0.866043614,2.716043614,,3.367133956,6.949221184,,,,,27.0,,,,,,,,,,44816.0,3098.0,13168.0,61082.0,35431.0,3008.0,22690.0,,47.0,7760.0,,,,,,132.0,,6.591900312,6.591900312,,,0.0,87.59728432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2008,AG,öffentlich oder subventioniert,Kreisspital für das Freiamt,Spitalstrasse 144,5630 Muri AG,K122,Ja,CT,,,,,,,,,,,,,34814.0,,,5881.0,,,531.0,,,100.0,4.0,,0.749,0.747,0.425097772,,4.846114606,,16.6978405,,,0.0,37.0,42.0,50.1,,139.4,,172.05,361.55,,,0.851895936,2.370345179,,2.92552287,6.147763986,,,,,3.0,,,,,,,,,,38845.0,2060.0,13687.0,54592.0,32371.0,1208.0,21540.0,,527.0,8160.0,,,,,,108.0,,5.919741541,5.919741541,,,0.0,88.07427646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2008,AG,öffentlich oder subventioniert,Spital Zofingen AG,Mühlethalstrasse 27,4800 Zofingen,K122,Ja,CT,,,,,,,,,,,,,30569.0,,,5008.0,,,317.0,,,100.0,4.0,,0.771,0.774,0.0,,13.3186901,,14.69648562,,,0.0,20.0,6.0,42.95,,176.6,,141.82,361.37,,,0.857627796,3.526357827,,2.83186901,7.215854633,,,,,25.0,,,,,,,,,,32599.0,1273.0,16604.0,50476.0,31168.0,2443.0,16869.0,,4.0,9103.0,,,,,,88.22191781,,6.104033546,6.104033546,,,0.0,94.93183442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2008,AG,öffentlich oder subventioniert,Asana Gruppe AG Spital Menziken,Spitalstrasse 1,5737 Menziken,K123,Ja,,,,,,,,,,,,,,19914.0,,,3517.0,,,214.0,,,100.0,3.0,,0.745,0.747,0.36963321,,5.82883139,,13.7048621,,,0.0,16.0,12.0,16.85,,63.27,,110.38,190.5,,,0.479101507,1.7989764,,3.138470287,5.416548194,,,,,11.0,,,,,,,,,,17324.0,2000.0,10422.0,29746.0,17381.0,504.0,11986.0,,125.0,3453.0,,,,,,56.0,,5.662212113,5.662212113,,,0.0,97.16042155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2008,AG,öffentlich oder subventioniert,Asana Gruppe AG Spital Leuggern,Kommendeweg,5316 Leuggern,K123,Ja,,,,,,,,,,,,,,14616.0,,,2767.0,,,443.0,,,100.0,2.0,,0.672,0.667,3.216479942,,2.096132996,,14.5645103,,,0.0,30.0,2.0,13.06,,46.8,,72.45,132.31,,,0.471991326,1.691362486,,2.618359234,4.781713047,,,,,39.0,,,,,,,,,,13871.0,1909.0,5233.0,21013.0,14403.0,413.0,9019.0,,2822.0,3422.0,,,,,,45.0,,5.28225515,5.28225515,,,0.0,88.7431694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,AG,öffentlich oder subventioniert,Psychiatrische Dienste Aargau AG _ Psychiatrischer Dienst Königsfelden (PKF),,5200 Brugg AG,K211,Ja,,,,,,,,,,,,,,132734.0,,,2091.0,,,0.0,,,0.0,0.0,,,,0.526064084,,4.208512673,,4.495456719,,,16.0,8.0,3.0,44.1,,271.0,,219.2,534.3,,,2.109038737,12.96030607,,10.48302248,25.55236729,,,,,0.0,,,,,,,,,,54439.0,1777.0,22883.0,79099.0,34919.0,11614.0,30788.0,,-1778.0,2758.0,,,,,,409.0,,63.47871832,0.0,,,63.47871832,88.91315269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2008,AG,privat,"Schützen Rheinfelden AG, Klinik & Ambulatorium",Bahnhofstrasse 19,4310 Rheinfelden,K212,Nein,,,,,,,,,,,,,,27712.0,,,635.0,,,0.0,,,0.0,0.0,,,,1.417322835,,56.69291339,,43.62204724,,,0.0,7.0,2.0,39.45,,35.84,,26.32,101.61,,,6.212598425,5.644094488,,4.14488189,16.0015748,,,,,0.0,,,,,,,,,,11624.0,3180.0,5880.0,20684.0,23634.0,34.0,0.0,,2984.0,2817.0,,,,,,82.22465753,,43.64094488,0.0,,,43.64094488,92.33639877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
